"","fichier","corpus","loc","utt","token","age","annee","fichier","corpus","loc","utt","token","age","annee","nbx","sumx","nbsx","sumsx","FUT","COND","SUBJ","IMPF","prorel","conj","comme","PPRE","prep.inf","n.conj.det","n.adj","n.prep.n","cest...que","ya...qu","v.inf","dit.qu","plus.qu","proobj","x","FUT","COND","SUBJ","IMPF","prorel","conj","comme","PPRE","prep.inf","n.conj.det","n.adj","n.prep.n","cest...que","ya...qu","v.inf","dit.qu","plus.qu","proobj"
"11","./ttg_perceo_clan/TV_GP5_GAELLE_JS_nonrevu.tei_corpo_ttg.tei_corpo.cha "," TV_GP5 "," CHI ",1780,372,"5;",5,"./ttg_perceo_clan/TV_GP5_GAELLE_JS_nonrevu.tei_corpo_ttg.tei_corpo.cha "," TV_GP5 "," CHI ",1780,372,"5;",5,0,0,0,0,9,2,2,14,23,101,8,0,8,8,4,16,7,0,42,4,0,70,"x",0.0241935483870968,0.00537634408602151,0.00537634408602151,0.0376344086021505,0.0618279569892473,0.271505376344086,0.021505376344086,0,0.021505376344086,0.021505376344086,0.010752688172043,0.043010752688172,0.0188172043010753,0,0.112903225806452,0.010752688172043,0,0.188172043010753
"12","./ttg_perceo_clan/TV_GP5_HUBERT_JS.tei_corpo_ttg.tei_corpo.cha "," TV_GP5 "," CHI ",591,272,"5;04.24",5.33333,"./ttg_perceo_clan/TV_GP5_HUBERT_JS.tei_corpo_ttg.tei_corpo.cha "," TV_GP5 "," CHI ",591,272,"5;04.24",5.33333,0,0,0,0,0,3,0,1,9,19,1,0,4,0,2,2,2,0,4,0,0,13,"x",0,0.0110294117647059,0,0.00367647058823529,0.0330882352941176,0.0698529411764706,0.00367647058823529,0,0.0147058823529412,0,0.00735294117647059,0.00735294117647059,0.00735294117647059,0,0.0147058823529412,0,0,0.0477941176470588
"13","./ttg_perceo_clan/TV_GP5_JEREMY_JS_nonrevu.tei_corpo_ttg.tei_corpo.cha "," TV_GP5 "," CHI ",1195,279,"4;08.11",4.66667,"./ttg_perceo_clan/TV_GP5_JEREMY_JS_nonrevu.tei_corpo_ttg.tei_corpo.cha "," TV_GP5 "," CHI ",1195,279,"4;08.11",4.66667,0,0,0,0,2,1,0,10,10,48,6,0,4,2,6,5,7,0,18,0,0,76,"x",0.00716845878136201,0.003584229390681,0,0.03584229390681,0.03584229390681,0.172043010752688,0.021505376344086,0,0.014336917562724,0.00716845878136201,0.021505376344086,0.017921146953405,0.025089605734767,0,0.0645161290322581,0,0,0.272401433691756
"14","./ttg_perceo_clan/TV_GP5_JULIEN_JS_nonrevu.tei_corpo_ttg.tei_corpo.cha "," TV_GP5 "," CHI ",784,235,"4;05.30",4.41667,"./ttg_perceo_clan/TV_GP5_JULIEN_JS_nonrevu.tei_corpo_ttg.tei_corpo.cha "," TV_GP5 "," CHI ",784,235,"4;05.30",4.41667,0,0,0,0,2,5,1,3,3,36,3,0,5,0,2,6,4,0,15,1,0,25,"x",0.00851063829787234,0.0212765957446809,0.00425531914893617,0.0127659574468085,0.0127659574468085,0.153191489361702,0.0127659574468085,0,0.0212765957446809,0,0.00851063829787234,0.025531914893617,0.0170212765957447,0,0.0638297872340425,0.00425531914893617,0,0.106382978723404
"15","./ttg_perceo_clan/TV_GP5_LUCAS_JS_nonrevu.tei_corpo_ttg.tei_corpo.cha "," TV_GP5 "," CHI ",1740,420,"5;",5,"./ttg_perceo_clan/TV_GP5_LUCAS_JS_nonrevu.tei_corpo_ttg.tei_corpo.cha "," TV_GP5 "," CHI ",1740,420,"5;",5,0,0,0,0,2,0,4,4,16,81,4,0,2,1,0,8,2,0,33,0,0,77,"x",0.00476190476190476,0,0.00952380952380952,0.00952380952380952,0.0380952380952381,0.192857142857143,0.00952380952380952,0,0.00476190476190476,0.00238095238095238,0,0.019047619047619,0.00476190476190476,0,0.0785714285714286,0,0,0.183333333333333
"16","./ttg_perceo_clan/TV_GP5_MATTHIS_JS.tei_corpo_ttg.tei_corpo.cha "," TV_GP5 "," CHI ",1158,315,"4;05.30",4.41667,"./ttg_perceo_clan/TV_GP5_MATTHIS_JS.tei_corpo_ttg.tei_corpo.cha "," TV_GP5 "," CHI ",1158,315,"4;05.30",4.41667,0,0,0,0,0,2,1,19,5,85,5,0,4,1,5,7,3,0,15,0,0,49,"x",0,0.00634920634920635,0.00317460317460317,0.0603174603174603,0.0158730158730159,0.26984126984127,0.0158730158730159,0,0.0126984126984127,0.00317460317460317,0.0158730158730159,0.0222222222222222,0.00952380952380952,0,0.0476190476190476,0,0,0.155555555555556
"17","./ttg_perceo_clan/TV_GP5_THIBAUT_JS_nonrevu.tei_corpo_ttg.tei_corpo.cha "," TV_GP5 "," CHI ",909,378,"5;",5,"./ttg_perceo_clan/TV_GP5_THIBAUT_JS_nonrevu.tei_corpo_ttg.tei_corpo.cha "," TV_GP5 "," CHI ",909,378,"5;",5,0,0,0,0,1,1,0,8,4,47,5,0,0,0,0,1,3,0,13,3,0,31,"x",0.00264550264550265,0.00264550264550265,0,0.0211640211640212,0.0105820105820106,0.124338624338624,0.0132275132275132,0,0,0,0,0.00264550264550265,0.00793650793650794,0,0.0343915343915344,0.00793650793650794,0,0.082010582010582
"18","./ttg_perceo_clan/TV_GP5_TRISTAN_JS_nonrevu.tei_corpo_ttg.tei_corpo.cha "," TV_GP5 "," CHI ",1866,380,"5;01.05",5.08333,"./ttg_perceo_clan/TV_GP5_TRISTAN_JS_nonrevu.tei_corpo_ttg.tei_corpo.cha "," TV_GP5 "," CHI ",1866,380,"5;01.05",5.08333,0,0,0,0,5,3,1,13,22,85,7,0,4,1,7,7,8,0,34,4,0,88,"x",0.0131578947368421,0.00789473684210526,0.00263157894736842,0.0342105263157895,0.0578947368421053,0.223684210526316,0.0184210526315789,0,0.0105263157894737,0.00263157894736842,0.0184210526315789,0.0184210526315789,0.0210526315789474,0,0.0894736842105263,0.0105263157894737,0,0.231578947368421
"19","./ttg_perceo_clan/TV_GP6_ANAELLE_JS.tei_corpo_ttg.tei_corpo.cha "," TV_GP6 "," CHI ",1860,423,"5;08.11",5.66667,"./ttg_perceo_clan/TV_GP6_ANAELLE_JS.tei_corpo_ttg.tei_corpo.cha "," TV_GP6 "," CHI ",1860,423,"5;08.11",5.66667,0,0,0,0,18,9,1,44,15,94,11,0,11,0,2,29,12,0,19,1,1,92,"x",0.0425531914893617,0.0212765957446809,0.00236406619385343,0.104018912529551,0.0354609929078014,0.222222222222222,0.0260047281323877,0,0.0260047281323877,0,0.00472813238770686,0.0685579196217494,0.0283687943262411,0,0.0449172576832151,0.00236406619385343,0.00236406619385343,0.217494089834515
"20","./ttg_perceo_clan/TV_GP6_CORENTIN_JS.tei_corpo_ttg.tei_corpo.cha "," TV_GP6 "," CHI ",847,250,"6;03.17",6.25,"./ttg_perceo_clan/TV_GP6_CORENTIN_JS.tei_corpo_ttg.tei_corpo.cha "," TV_GP6 "," CHI ",847,250,"6;03.17",6.25,0,0,0,0,5,0,0,6,6,45,0,0,9,0,2,6,3,0,20,0,0,46,"x",0.02,0,0,0.024,0.024,0.18,0,0,0.036,0,0.008,0.024,0.012,0,0.08,0,0,0.184
