22 *ADU:	ben si ils l'aiment bien il faut que tu le fais ou il y a que eux qui le disent ?
21 *ADU:	pas du tout envie vous avez pas du tout envie d'être un tout petit peu plus grandes ou euh ben
17 *ADU:	la vie et donc euh euh vous avez envie de rester comme vous êtes ou vous
17 *ADU:	alors on va ré- on va prendre une d'un autre côté donc pour euh pour penser
17 *ADU:	alors grand c'est quoi pour vous ? être adulte ? c'est quand ? c'est quoi ?
16 *ADU:	les plantes quand ça grandit c'est sûr que ça récupère quelque chose dans la terre
16 *ADU:	elle pense tout le temps est-ce que euh il y a que les hommes euh
16 *ADU:	bon alors pour finir admettons que les les plantes pensent quand même un petit peu
15 *ADU:	vous avez souvent appris les arbres euh c'est tout ils récupèrent de du carbone
15 *ADU:	oui et donc c'est justement ça ça serait ce que tu euh vis maintenant
