11 *ADU:	d'accord vous avez dit une pensée dans votre tête ou
10 *ADU:	si elle est en train de rêver ou pas
10 *ADU:	qui passe là que j'ai "La nouvelle star" ?
10 *ADU:	non ben non parce que si on sait pas
10 *ADU:	lequel tu crois qui est le plus compliqué ?
10 *ADU:	et quand tu rêves tu crois que c'est vrai
10 *ADU:	ce que tu as dit sur les animaux est-ce
09 *ADU:	vous avez peur de poser des questions ?
09 *ADU:	son ,sans coeur et respirer on pense pas
09 *ADU:	Simon il dit un truc un peu bête
