fichier	corpus	loc	utt	token	age	annee	nbx	sumx	nbsx	sumsx	FUT	COND	SUBJ	IMPF	prorel	conj	comme	PPRE	prep+inf	n+conj+det	n+adj	n+prep+n	cest+++que	ya+++qu	v+inf	dit+qu	plus+qu	proobj	x
./conllu_clan/Enfants_Long_celia_can_4.2-5.1_celia7_can.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	115	10	4;06.20	4.5	10	5.400000	1	8.000000	1	0	0	0	1	5	0	0	0	0	1	3	0	0	0	1	0	1	x
./conllu_clan/Enfants_Long_celia_can_4.2-5.1_celia8_can.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	94	10	4;07.18	4.58333	10	5.100000	0	0	0	0	0	0	0	8	1	0	2	0	0	1	0	0	0	0	0	1	x
./conllu_clan/Enfants_Long_celia_can_4.2-5.1_celia9_can.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	67	10	4;09.12	4.75	10	3.900000	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	1	x
./conllu_clan/Enfants_Long_celia_gav_4.7-4.11_celia1_gav.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	163	10	4;07.22	4.58333	10	5.600000	1	7.000000	0	0	0	0	1	14	1	0	1	2	2	1	0	0	0	2	0	2	x
./conllu_clan/Enfants_Long_celia_gav_4.7-4.11_celia2_gav.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	161	10	4;09.10	4.75	10	6.000000	3	7.666667	0	0	0	1	0	18	3	0	1	1	0	0	0	0	2	0	0	4	x
./conllu_clan/Enfants_Long_celia_gav_4.7-4.11_celia3_gav.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	250	13	4;10.29	4.83333	13	4.923077	1	7.000000	0	0	0	2	1	19	0	0	2	1	0	3	1	0	1	0	0	9	x
./conllu_clan/Enfants_Long_fanny_cha_3.9-4.2_fanny1_cha.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	127	10	3;09.03	3.75	10	4.900000	1	7.000000	0	0	0	0	2	9	0	0	1	0	0	0	1	0	0	0	0	1	x
./conllu_clan/Enfants_Long_fanny_cha_3.9-4.2_fanny2_cha.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	100	10	4;01.00	4.08333	10	4.400000	1	7.000000	0	1	0	1	0	5	1	0	1	0	1	0	0	0	1	0	0	1	x
./conllu_clan/Enfants_Long_fanny_cha_3.9-4.2_fanny3_cha.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	79	10	4;02.23	4.16667	10	4.300000	0	0	0	0	1	0	1	2	0	0	1	0	0	0	0	0	2	0	0	4	x
./conllu_clan/Enfants_Long_Ferdinand_Can_5.11-7.2_Ferdinand3_Can_Anon.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	81	10	6;01.10	6.08333	10	4.700000	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	2	x
./conllu_clan/Enfants_Long_Ferdinand_Can_5.11-7.2_Ferdinand4_Can_Anon.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	112	10	6;02.01	6.16667	10	4.900000	2	7.000000	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	4	x
./conllu_clan/Enfants_Long_gaelle_sow_3.0-3.4_gaelle1_sow.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	55	10	3;00.11	3	10	3.700000	0	0	0	0	0	0	1	2	0	0	0	0	1	0	1	0	0	0	0	2	x
./conllu_clan/Enfants_Long_gaelle_sow_3.0-3.4_gaelle2_sow.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	73	10	3;01.21	3.08333	10	3.900000	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	2	x
./conllu_clan/Enfants_Long_gaelle_sow_3.0-3.4_gaelle3_sow.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	65	10	3;03.24	3.25	10	4.100000	0	0	0	0	0	0	0	4	0	0	0	0	2	1	0	0	0	0	0	2	x
./conllu_clan/Enfants_Long_gaelle_sow_3.0-3.4_gaelle4_sow.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	73	10	3;04.15	3.33333	10	3.800000	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	1	0	0	3	x
./conllu_clan/Enfants_Long_gaelle_sow_3.0-3.4_gaelle5_sow.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	66	10	3;04.22	3.33333	10	3.700000	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2	x
./conllu_clan/Enfants_Long_gaelle_sow_3.0-3.4_gaelle6_sow.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	55	10	3;04.29	3.33333	10	3.100000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	x
./conllu_clan/Enfants_Long_garance_sow_3.6-3.11_garance1_sow.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	85	10	3;06.28	3.5	10	4.900000	2	7.000000	0	0	0	2	0	6	0	0	3	0	0	1	0	0	1	1	0	1	x
./conllu_clan/Enfants_Long_garance_sow_3.6-3.11_garance2_sow.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	10	3	3;08.10	3.66667	3	2.666667	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	x
./conllu_clan/Enfants_Long_garance_sow_3.6-3.11_garance3_sow.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	90	10	3;10.12	3.83333	10	4.400000	0	0	0	0	0	5	2	9	0	0	1	1	0	2	0	0	1	0	2	2	x
./conllu_clan/Enfants_Long_garance_sow_3.6-3.11_garance4_sow.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	92	10	3;11.02	3.91667	10	4.700000	0	0	0	0	0	0	3	7	0	0	0	0	0	3	0	0	1	0	0	0	x
./conllu_clan/Enfants_Long_garance_sow_3.6-3.11_garance5_sow.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	75	10	3;11.09	3.91667	10	4.000000	0	0	0	0	0	0	1	4	0	0	1	0	0	3	0	0	1	0	0	1	x
./conllu_clan/Enfants_Long_garance_sow_3.6-3.11_garance6_sow.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	67	10	3;11.16	3.91667	10	4.000000	0	0	0	1	0	0	0	9	0	0	0	2	0	0	1	0	2	2	0	2	x
./conllu_clan/Enfants_Long_hector_aub_5.6-6.0_hector1_aub.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	143	10	5;06.28	5.5	10	5.200000	2	7.000000	0	0	0	0	4	9	0	0	0	0	1	2	1	0	1	0	0	1	x
./conllu_clan/Enfants_Long_hector_aub_5.6-6.0_hector2_aub.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	192	10	5;10.20	5.83333	10	6.100000	2	7.500000	0	0	0	6	6	28	1	0	1	0	1	3	2	0	1	3	0	6	x
./conllu_clan/Enfants_Long_hector_aub_5.6-6.0_hector3_aub.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	171	10	6;00.16	6	10	5.500000	0	0	0	2	0	18	4	9	0	0	0	1	1	4	0	0	2	0	0	9	x
./conllu_clan/Enfants_Long_hugo_bar_3.7-4.1_hugo1_bar.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	141	10	3;07.13	3.58333	10	5.500000	3	7.000000	0	0	0	0	3	18	0	0	1	0	0	1	2	0	6	0	0	7	x
./conllu_clan/Enfants_Long_hugo_bar_3.7-4.1_hugo2_bar.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	190	10	3;09.23	3.75	10	6.400000	2	9.000000	0	0	0	0	2	8	3	0	0	1	1	3	2	0	2	0	1	1	x
./conllu_clan/Enfants_Long_hugo_bar_3.7-4.1_hugo3_bar.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	174	10	4;01.26	4.08333	10	6.300000	4	8.250000	1	0	0	0	2	20	0	0	0	0	0	3	0	0	3	0	1	8	x
./conllu_clan/Enfants_Long_hugo_gre_3.5-3.10_hugo1_gre.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	171	10	3;05.13	3.41667	10	5.600000	2	7.000000	0	0	2	1	0	14	2	0	1	0	1	0	2	0	1	0	1	9	x
./conllu_clan/Enfants_Long_hugo_gre_3.5-3.10_hugo2_gre.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	170	10	3;08.05	3.66667	10	6.400000	4	8.750000	0	0	0	0	0	19	0	0	3	0	1	0	1	0	2	1	0	5	x
