26 *ADU:	ça je peux pas les é- je peux pas les mettre tous les jours non plus parce que c'est c'est un peu haut quoi hum
25 *ADU:	moi on me dit tu me donne un contrat de travail je lui donne un contrat de travail et je cherche pas à comprendre
25 *ADU:	ah ouais non mais déjà tu sais demain j'y vais pas parce que je peux pas vu que je suis à ¤T2¤ mais euh
23 *ADU:	bah ça va tiens euh demain je pars à ¤T2¤ je vais faire la la foire euh du le salon du cadeau
20 *ADU:	mais elle est en plastique hein elle est pas en tissus hein tu sais en pas en pl- en
20 *ADU:	et euh si on y av pas une fois c'est sous forme de quitus et euh si on a
19 *ADU:	parce que sinon euh puis en plus je t'ai dit j'ai cours jusqu'à six heures le le vendredi
19 *ADU:	hum et puis il y a une capuche avec de la fourrure mais tu sais je peux l'enlever
19 *ADU:	et puis euh tu sais j- je suis allée en ville la semaine dernière je me suis achetée
19 *ADU:	donc voila j'ai fait ça et puis j'ai travaillé un peu euh j- j'ai avancé dans mes dossiers
