fichier-colaje-lg20	corpus	loc	utt	token	age	annee	nbx	sumx	nbsx	sumsx	FUT	COND	SUBJ	IMPF	prorel	conj	comme	PPRE	prep+inf	n+conj+det	n+adj	n+prep+n	cest+++que	ya+++qu	v+inf	dit+qu	plus+qu	proobj	x
./ttg_perceo_clan/ADRIEN-28-3_09_09.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	228	20	3;08.11	3.66667	0	0	0	0	0	0	1	3	0	9	1	0	2	1	0	0	0	0	1	0	1	19	x
./ttg_perceo_clan/ADRIEN-29-3_10_13.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	221	20	3;09.17	3.75	0	0	0	0	1	2	0	1	1	10	2	0	0	0	0	0	0	0	6	0	0	11	x
./ttg_perceo_clan/ADRIEN-30-3_11_13.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	304	20	3;10.23	3.83333	0	0	0	0	1	0	2	1	1	16	8	0	2	0	2	2	0	0	2	0	1	10	x
./ttg_perceo_clan/ADRIEN-31-4_00_15.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	334	20	4;	4	0	0	0	0	0	2	0	0	0	18	7	0	1	1	1	1	0	0	8	0	3	13	x
./ttg_perceo_clan/ADRIEN-32-4_01_12.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	229	20	4;01.05	4.08333	0	0	0	0	0	1	0	0	1	11	3	0	1	0	0	3	1	0	6	0	0	8	x
./ttg_perceo_clan/ADRIEN-33-4_02_15.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	262	20	4;02.12	4.16667	0	0	0	0	0	1	1	1	0	15	1	0	1	0	0	0	1	0	4	0	0	15	x
./ttg_perceo_clan/ADRIEN-34-4_03_26.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	483	20	4;03.17	4.25	0	0	0	0	0	1	0	0	1	46	3	0	1	0	0	5	2	0	8	1	2	21	x
./ttg_perceo_clan/ANAE-01-1_04_20.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	101	20	1;03.18	1.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	x
./ttg_perceo_clan/ANAE-02-1_06_08.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	65	20	1;05.30	1.41667	0	0	0	0	3	1	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	1	x
./ttg_perceo_clan/ANAE-03-1_07_03.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	92	20	1;05.30	1.41667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	x
./ttg_perceo_clan/ANAE-04-1_09_04.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	102	20	1;08.11	1.66667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	x
./ttg_perceo_clan/ANAE-05-1_10_18.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	104	20	1;09.17	1.75	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	x
./ttg_perceo_clan/ANAE-06-2_00_00.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	139	20	2;	2	0	0	0	0	1	1	0	0	0	8	3	0	0	0	1	0	0	0	0	0	0	6	x
./ttg_perceo_clan/ANAE-07-2_00_26.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	182	20	2;	2	0	0	0	0	0	0	0	0	2	10	2	0	1	1	2	1	3	0	3	0	0	0	x
./ttg_perceo_clan/ANAE-08-2_01_05.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	143	20	2;	2	0	0	0	0	2	1	0	0	0	6	0	0	0	1	0	0	1	1	5	0	0	4	x
./ttg_perceo_clan/ANAE-09-2_02_16.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	177	20	2;02.12	2.16667	0	0	0	0	2	1	0	0	3	4	0	0	0	0	1	1	1	0	3	0	0	3	x
./ttg_perceo_clan/ANAE-10-2_03_30.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	130	20	2;03.17	2.25	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	3	0	3	0	0	8	x
./ttg_perceo_clan/ANAE-11-2_04_28.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	172	20	2;04.23	2.33333	0	0	0	0	0	0	0	0	0	8	0	0	4	0	1	1	0	0	0	0	0	3	x
./ttg_perceo_clan/ANAE-12-2_05_30.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	176	20	2;05.30	2.41667	0	0	0	0	0	0	0	0	0	6	1	0	1	2	2	0	0	0	1	0	0	11	x
./ttg_perceo_clan/ANAE-13-2_06_27.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	202	20	2;05.30	2.41667	0	0	0	0	4	0	0	0	0	11	0	0	2	0	2	3	0	0	2	0	0	8	x
./ttg_perceo_clan/ANAE-14-2_08_04.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	216	20	2;07.05	2.58333	0	0	0	0	0	0	0	2	9	8	2	0	1	1	1	1	2	0	0	0	0	6	x
./ttg_perceo_clan/ANAE-15-2_09_23.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	162	20	2;09.17	2.75	0	0	0	0	0	0	0	0	2	6	1	0	3	0	1	2	1	0	1	0	0	8	x
./ttg_perceo_clan/ANAE-16-2_10_24.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	218	20	2;10.23	2.83333	0	0	0	0	0	1	0	0	4	13	2	0	2	1	0	4	1	0	4	0	0	9	x
./ttg_perceo_clan/ANAE-17-2_11_22.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	280	20	2;10.23	2.83333	0	0	0	0	3	1	1	1	9	22	3	0	0	1	0	2	3	1	0	1	0	6	x
./ttg_perceo_clan/ANAE-18-3_01_07.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	201	20	3;01.06	3.08333	0	0	0	0	3	0	0	0	4	9	0	0	0	0	1	1	3	1	3	0	0	7	x
./ttg_perceo_clan/ANAE-19-3_03_00.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	233	20	3;02.12	3.16667	0	0	0	0	0	0	0	2	3	12	1	0	0	2	11	0	1	0	2	0	0	4	x
./ttg_perceo_clan/ANAE-20-3_04_27.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	223	20	3;04.23	3.33333	0	0	0	0	0	1	0	1	0	10	0	0	1	1	0	2	1	0	3	0	0	9	x
./ttg_perceo_clan/ANAE-21-3_05_22.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	244	20	3;04.23	3.33333	0	0	0	0	1	0	0	1	1	21	0	0	1	2	1	2	1	0	4	0	0	16	x
./ttg_perceo_clan/ANAE-22-3_06_27.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	240	20	3;05.30	3.41667	0	0	0	0	0	1	0	2	5	26	3	0	1	2	0	0	4	0	3	0	0	4	x
./ttg_perceo_clan/ANAE-23-3_08_10.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	200	20	3;07.05	3.58333	0	0	0	0	0	0	0	3	2	7	0	0	2	0	1	6	1	1	0	0	0	7	x
./ttg_perceo_clan/ANAE-24-3_10_00.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	410	20	3;09.17	3.75	0	0	0	0	0	1	0	10	3	36	1	0	4	0	0	2	0	2	7	0	0	24	x
./ttg_perceo_clan/ANAE-25-4_00_13.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	345	20	4;	4	0	0	0	0	1	3	0	14	4	37	1	0	3	3	1	1	1	1	3	2	0	6	x
./ttg_perceo_clan/ANAE-26-4_01_18.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	280	20	4;01.05	4.08333	0	0	0	0	0	1	1	6	3	23	0	0	2	1	1	0	3	0	4	0	0	11	x
./ttg_perceo_clan/ANAE-27-4_04_10.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	233	20	4;03.17	4.25	0	0	0	0	0	2	0	4	2	24	0	0	1	2	0	2	1	0	2	0	0	7	x
./ttg_perceo_clan/ANAE-28-4_05_24.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	217	20	4;04.24	4.33333	0	0	0	0	0	2	0	6	5	12	0	0	0	0	1	3	3	2	2	1	0	10	x
./ttg_perceo_clan/ANAE-29-4_08_09.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	245	20	4;07.05	4.58333	0	0	0	0	1	1	0	4	2	19	1	0	2	0	0	1	1	1	7	6	0	15	x
./ttg_perceo_clan/ANAE-30-5_01_21.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	366	20	5;01.05	5.08333	0	0	0	0	1	0	0	16	8	33	0	0	0	5	0	1	5	1	1	1	0	11	x
./ttg_perceo_clan/ANAE-31-5_07_06.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	329	20	5;07.05	5.58333	0	0	0	0	1	0	0	5	1	25	1	0	0	4	4	3	1	0	1	2	0	9	x
./ttg_perceo_clan/ANAE-32-5_10_30.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	247	20	5;10.23	5.83333	0	0	0	0	1	0	0	3	7	18	2	0	1	0	5	1	2	0	3	1	0	12	x
./ttg_perceo_clan/ANTOINE-09-0_09_07.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	2	1	0;08.11	0.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	x
./ttg_perceo_clan/ANTOINE-13-1_00_24.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	3	1	1;	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	x
./ttg_perceo_clan/ANTOINE-14-1_01_24.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	18	6	1;01.06	1.08333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	x
./ttg_perceo_clan/ANTOINE-15-1_02_24.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	11	3	1;02.11	1.16667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	x
./ttg_perceo_clan/ANTOINE-17-1_04_19.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	6	2	1;03.18	1.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	x
