"","processor","mean","sd","min","max","median","q20","q80","pvalue","cor"
"178","modalite_texte_nombre_marqueurs_niveau1_text","26.6431718061674","31.5657830398943","0","224","19","0","43","5.00193103132143e-22","0.582584077346758"
"181","modalite_texte_nombre_alethique_niveau2_text","2.7136563876652","4.22402927278414","0","24","1","0","5","5.65031612661057e-22","0.581974314690136"
"59","parties_du_discours_texte_proportion_VERB_text","0.107850110972247","0.0633954487390447","0","0.3333333333","0.1286286286","0.03345864658","0.15650203522","1.06538029228408e-21","0.578780832340462"
"33","flexions_verbales_texte_passe_text","8.09449592665727","7.44876009585876","0","50","7.6335877863","0","13.34385057108","3.82444818544425e-21","0.572237175868184"
"70","pronoms_texte_proportion_pronoms_personnels_singuliers_text","0.0648448999052863","0.0529839735950741","0","0.3333333333","0.0666666667","0.00788222266","0.1050634868","3.95940521531326e-21","0.572057568329068"
"139","connecteurs_organisateurs_texte_nombre_illustration_et_exemplification_text","5.7488986784141","8.4729364116929","0","51","3","0","10","4.38268404151706e-21","0.571530912495986"
"142","connecteurs_organisateurs_texte_proportion_additifs_et_integration_lineaire_text","0.0878899197577093","0.086416433338097","0","0.4575471698","0.0695652174","0","0.1578947368","5.25125934926182e-21","0.570591038866849"
"98","adverbiaux_temporels_texte_nombre_adverbiaux_iterateur_frequentiel_text","0.572687224669603","1.68222179884217","0","16","0","0","0.800000000000011","9.22703178532788e-20","0.55527767894713"
"83","phonetique_texte_frequence_phonemes_variance_text","3.45140330552467","1.36339461641447","0.0890490786","6.7450062557","3.7524616165","2.43588838372","4.18608222596","1.24054199331113e-19","0.553650317814509"
"227","modalite_texte_proportion_pas_d_indication_niveau0_text","0.753303964757709","0.432040958124904","0","1","1","0","1","5.86283336172125e-19","0.5449631768929"
"187","modalite_texte_nombre_axiologique_niveau2_text","2.2511013215859","3.60719979688459","0","19","1","0","4","6.21413011838792e-19","0.544632727052724"
"182","modalite_texte_nombre_alethique_niveau1_text","21.5330396475771","27.5426059495025","0","215","14","0","34","1.17763991022821e-18","0.540978452142629"
"7","niveau_lexical_texte_proportion_niveau_3_text","0.106311840511894","0.067038727676278","0","0.5","0.1165829146","0.04185850158","0.152367828","1.26765758909499e-18","0.540554528710736"
"205","modalite_texte_proportion_pas_d_indication_text","0.00591427225286344","0.00533425402412113","0","0.0260680666","0.0053304904","0","0.01009434202","2.77528971069575e-18","0.536007453210029"
"104","adverbiaux_temporels_texte_proportion_adverbiaux_localisation_temporelle_text","0.226903297496035","0.290940041626444","0","1","0","0","0.5","3.25656435656697e-18","0.53507097586942"
"105","adverbiaux_temporels_texte_proportion_adverbiaux_purement_iteratifs_text","0.056303466576652","0.132357721063474","0","0.8571428571","0","0","0.0990476190400001","6.2313103222482e-18","0.531240847260624"
"140","connecteurs_organisateurs_texte_proportion_illustration_et_exemplification_text","0.0205158824581498","0.0262581492128798","0","0.1504424779","0.0104895105","0","0.03669308752","2.09297858797281e-17","0.523957195114009"
"201","modalite_texte_proportion_axiologique_text","0.00544739711013216","0.00464225035790669","0","0.0273037543","0.0054595086","0","0.00877656044","3.22946787714532e-17","0.521306647168673"
"48","parties_du_discours_texte_proportion_AUX_text","0.0431548600713656","0.0297580222181846","0","0.1200324412","0.052064632","0.00705882354","0.06641188876","3.38329184142274e-17","0.521020909716681"
"184","modalite_texte_nombre_appreciatif_niveau2_text","13.273127753304","12.6461484708714","0","84","10","2","22.8","3.40255568279058e-17","0.520986026489952"
"219","modalite_texte_proportion_boulique_niveau3_text","0.797786790490308","0.394180047755747","0","1","1","0.8278787879","1","7.26141133913248e-17","0.516292326256089"
"203","modalite_texte_proportion_deontique_text","0.00522525174229075","0.00564391647988429","0","0.0293654955","0.0040883074","0","0.00980073988","7.91764897677446e-17","0.515751976280494"
"224","modalite_texte_proportion_epistemique_niveau3_text","0.716783634737445","0.377233380311177","0","1","0.9019607843","0.0266666666600004","0.97740943266","9.34588087897562e-17","0.51471354807466"
"213","modalite_texte_proportion_appreciatif_niveau3_text","0.25488730088326","0.210454689129837","0","1","0.2692307692","0","0.43567447046","2.74488613140578e-16","0.507879878269669"
"237","structures_syntaxiques_texte_proportion_subordonnees_qui_text","0.0172097450845815","0.0206632896691673","0","0.09375","0.0093457944","0","0.03587964602","8.69329751051058e-16","0.500394400662375"
"234","structures_passives_texte_nombre_structures_passives_text","3.01762114537445","3.76754275182214","0","19","2","0","6","8.92869410017735e-16","0.500218724913987"
"38","flexions_verbales_texte_proportion_indicatif_text","66.321431983122","28.1873840780632","0","100","76.9841269841","52.08333333334","84.00702775664","1.00171718569673e-15","0.499461218446237"
"18","adjectifs_ordinaux_texte_nombre_adjectifs_ordinaux_text","0.436123348017621","1.71900334952884","0","13","0","0","0","2.43412856385367e-15","0.493550433118559"
"113","adverbiaux_temporels_texte_proportion_adverbiaux_iterateur_frequentiel_text","0.0747858990114537","0.188923938221552","0","1","0","0","0.066666666640001","2.44738793416068e-15","0.493513914437193"
"8","niveau_lexical_texte_proportion_niveau_4_text","0.115874614894714","0.0624215474011037","0","0.3333333333","0.135467409","0.04910842386","0.16264441818","3.72298097570044e-15","0.490680680745098"
"25","flexions_verbales_texte_proportion_ind.cond_text","0.107689224443612","0.371279574121433","0","3.1496062992","0","0","0","1.15241474127812e-14","0.482916672587297"
"160","propositions_subordonnees_texte_nombre_subordonnees_type_savoir_si_text","0.123348017621145","0.443967707441068","0","3","0","0","0","1.18578297359982e-14","0.482717973910981"
"185","modalite_texte_nombre_appreciatif_niveau1_text","4.9295154185022","5.40929724333916","0","26","3","0","9","2.36017937627013e-14","0.477886992765949"
"6","niveau_lexical_texte_proportion_niveau_2_text","0.0433206431898678","0.0269591596875617","0","0.1853658537","0.0501043841","0.0145820933","0.06345790966","3.30473415500472e-14","0.475496524271972"
"23","flexions_verbales_texte_proportion_ind.fut_text","0.23819434583304","0.458098575646997","0","2.2123893805","0","0","0.50710871048","8.67318291640791e-14","0.468539591567677"
"198","modalite_texte_proportion_marqueurs_text","0.0784294174806167","0.0455817257745092","0","0.3333333333","0.0871422469","0.03876101166","0.11250014504","2.13223615547957e-13","0.461908858325618"
"216","modalite_texte_proportion_axiologique_niveau3_text","0.335392373201322","0.311815377800128","0","1","0.3333333333","0","0.6323170732","2.34654797028269e-13","0.461194362317413"
"19","adjectifs_ordinaux_texte_proportion_adjectifs_ordinaux_text","0.000158429850660793","0.000579120493063622","0","0.005893019","0","0","0","2.7743911089604e-13","0.459940868951404"
"74","pronoms_texte_proportion_pronoms_demonstratifs_text","0.0392245593237885","0.0287049899022171","0","0.1143552311","0.0442391833","0.00205180242","0.06358708946","2.87165369917694e-13","0.459682352855373"
"65","pronoms_texte_repartition_pronoms_personnels_pluriels_text","0.045553405745815","0.0644497510346835","0","0.4285714286","0.0253164557","0","0.07712094978","4.96214797016373e-13","0.455549363302237"
"61","pronoms_texte_repartition_pronoms_personnels_1e_personne_text","0.263400476298238","0.21690413256881","0","1","0.2754491018","0","0.43334597012","3.10003946995335e-12","0.44128443392295"
"199","modalite_texte_proportion_alethique_text","0.0297235300656388","0.0253806249058812","0","0.25","0.0308422301","0.00409413282","0.0465701974","5.49415247398256e-12","0.436689122258971"
"226","modalite_texte_proportion_epistemique_niveau1_text","0.0140605476004405","0.0243089482418635","0","0.1393442623","0","0","0.02719452592","9.53914540244416e-12","0.432192433406179"
"37","flexions_verbales_texte_proportion_temps_simple_text","6.16903424464097","5.94213325184287","0","50","6.2801932367","0","10.30882352942","1.97952142736564e-11","0.426138688525149"
"64","pronoms_texte_repartition_pronoms_personnels_singuliers_text","0.787045713196916","0.358928221405687","0","1","0.9482071713","0.79669447306","1","2.21016347691807e-11","0.425214232967797"
"195","modalite_texte_nombre_epistemique_niveau2_text","3.94273127753304","5.51436398927653","0","27","2","0","6.80000000000001","4.19054081363236e-11","0.419791677632237"
"91","adverbiaux_temporels_texte_nombre_adverbiaux_duratifs_iteratifs_text","3.47136563876652","4.46548408649932","0","23","2","0","6","6.96501872064267e-11","0.415415285900576"
"47","parties_du_discours_texte_proportion_ADV_text","0.075539774677533","0.043981058734964","0","0.3333333333","0.0821995465","0.03947604612","0.10501797974","7.60616768009931e-11","0.414650302360482"
"76","pronoms_texte_proportion_pronoms_negatifs_text","0.000365617600881057","0.0011200086107569","0","0.0133600534","0","0","0.00051580128","8.73815156453147e-11","0.413441120091793"
"53","parties_du_discours_texte_proportion_NUM_text","0.00759780252202643","0.0123772429233625","0","0.0923943662","0.0031194296","0","0.01100667966","9.67896879751461e-11","0.412546800055078"
"188","modalite_texte_nombre_axiologique_niveau1_text","3.56828193832599","4.27675939573512","0","26","2","0","7","2.00833611253347e-10","0.406084878398769"
"161","propositions_subordonnees_texte_proportion_subordonnees_type_savoir_si_text","0.000388394815859031","0.0014635731693336","0","0.0116959064","0","0","0","3.30322188550897e-10","0.401599133779545"
