id_text;document;age_texte_age_min_text;age_texte_age_max_text;age_texte_age_moyen_text
52;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anaé_2.41.txt;3.55;3.55;3.55
53;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anaé_2.5.txt;3.71;3.71;3.71
54;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anaé_2.57.txt;3.56;3.56;3.56
55;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anaé_2.67.txt;3.46;3.46;3.46
56;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anaé_2.81.txt;3.61;3.61;3.61
57;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anaé_2.9.txt;3.72;3.72;3.72
58;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anaé_2.97.txt;3.69;3.69;3.69
59;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anaé_3.1.txt;3.69;3.69;3.69
60;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anaé_3.25.txt;3.78;3.78;3.78
61;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anaé_3.4.txt;3.92;3.92;3.92
62;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anaé_3.47.txt;3.93;3.93;3.93
70;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_1.06.txt;2.57;2.57;2.57
71;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_1.14.txt;2.78;2.78;2.78
72;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_1.23.txt;2.57;2.57;2.57
73;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_1.29.txt;2.72;2.72;2.72
74;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_1.38.txt;2.62;2.62;2.62
75;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_1.47.txt;2.18;2.18;2.18
76;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_1.56.txt;2.64;2.64;2.64
77;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_1.62.txt;2.97;2.97;2.97
78;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_1.68.txt;2.67;2.67;2.67
79;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_1.78.txt;2.56;2.56;2.56
80;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_1.82.txt;2.88;2.88;2.88
81;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_1.86.txt;2.77;2.77;2.77
82;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_1.93.txt;2.61;2.61;2.61
83;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_1.96.txt;2.70;2.70;2.70
84;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_2.0.txt;2.68;2.68;2.68
85;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_2.05.txt;2.73;2.73;2.73
86;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_2.11.txt;2.86;2.86;2.86
87;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_2.16.txt;2.70;2.70;2.70
88;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_2.2.txt;2.94;2.94;2.94
89;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_2.24-(1).txt;2.98;2.98;2.98
90;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_2.24.txt;2.90;2.90;2.90
91;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_2.26.txt;3.04;3.04;3.04
92;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_2.29.txt;3.09;3.09;3.09
93;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_2.34.txt;3.09;3.09;3.09
94;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_2.4.txt;3.29;3.29;3.29
95;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_2.48.txt;3.00;3.00;3.00
96;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_2.56.txt;3.31;3.31;3.31
97;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_2.64.txt;3.62;3.62;3.62
98;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_2.72.txt;3.69;3.69;3.69
99;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_2.79.txt;3.61;3.61;3.61
100;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_2.96.txt;3.64;3.64;3.64
101;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_3.05.txt;3.71;3.71;3.71
102;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_3.23.txt;3.75;3.75;3.75
103;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_3.41.txt;3.91;3.91;3.91
104;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_3.58.txt;4.13;4.13;4.13
105;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_3.81.txt;4.11;4.11;4.11
106;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_4.02.txt;4.22;4.22;4.22
107;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_4.21.txt;3.99;3.99;3.99
108;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_4.46.txt;4.26;4.26;4.26
109;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_4.67.txt;4.36;4.36;4.36
