25 *CHI:	j'ai eu la fève et mon frère aussi et le soir on a mangé les restes de galette et j'ai encore eu la fève
20 *CHI:	ça c'était on on faisait les lettres euh avec nos on faisait le A avec nos avec nos jambes
19 *CHI:	et on on on piochait dans un pot et et euh et celui qui piochait dans le pot
19 *CHI:	en fait euh ça par exemple c'est c'est par exemple ça c'est les c'est euh ça c'est l'automne
17 *CHI:	oui on avait hum * le mari de ma maîtresse il avait coupé des de bois
17 *CHI:	et moi moi une fois j'étais après *** pour le dessert on a mangé la galette
16 *CHI:	ouais et en plus c'est moi qui envoie le cadeau Léopold aussi et Quentin aussi
16 *CHI:	ouais aussi l'ai fait en spectacle et on l'a vu dans la salle de jeux
16 *CHI:	et puis une petite branche de bois et puis euh et puis je sais plus
16 *CHI:	ça c'était c'était c'est c'était nous qui avait ou- qui qui avait ouvert les cadeaux
