16 *ADU:	oui on va pousser tout hop on pousse ça attends hop la voilà on renverse
13 *ADU:	faire toute seule tu vas m'aider un petit peu quand même ?
12 *ADU:	il peut pas attends on va trouver la pièce tiens regarde
11 *ADU:	tiens regarde regarde celui-ci hop tu veux le mettre ?
11 *ADU:	il y a le rideau et le portrait hop la
11 *ADU:	euh hum regarde cherche si il y a la lune
11 *ADU:	et c'est quoi ce que tu me , montres ?
11 *ADU:	c'est un bois oui alors regarde on va le mettre
11 *ADU:	c'est les étoiles regarde on va les mettre comme ça
11 *ADU:	c'est la bougie on la met où la bougie ?
