16 *ADU:	oui il est là han et regarde là il y a encore plein de choses
15 *ADU:	c'est de la colle de la colle tu te sers de la colle ?
14 *ADU:	tu vois c'est des petits autocollants et paf tu colles sur ton cahier
14 *ADU:	regarde vient on regarde les autres pages qu'il y a dans ce livre
14 *ADU:	regarde il y a un crayon là on ouvre celui-ci aussi c'est pareil
14 *ADU:	il y en a il y en a des autres comme ça ?
13 *ADU:	youp là attends je suis sûre qu'il y en a des autres
13 *ADU:	tu as vu elle t'a ramené plein de chouettes cadeaux ta tata
13 *ADU:	tu as tu as de la colle pour heu pour heu l'école
13 *ADU:	oup là il est là ah bah non il est plus là
