22 *ADU:	hum et comment tu sais ceux qu'il faut manger et ceux qu'il faut pas manger ? tu sais les reconnaître ?
21 *ADU:	pin pon pin pon et un accident pin pon pin pon pin pon pin pon les pompiers ils vont vite
21 *ADU:	hein tu les as appris dans les livres toutes ces choses ou c'est papa et maman qui t'ont racontées ?
20 *ADU:	ouais c'est un un ver de terre sauf que il y a plein de pattes ça s'appelle un mille-pattes
20 *ADU:	nan en fait c'est un petit peu comme de la terre regarde les radis ça pousse dans la terre
20 *ADU:	et celles-là elles sont un petit peu en retard alors elles vont monter monter monter hop pour la rejoindre
19 *ADU:	tout en boule tu as vu on voit plus ses pattes et là ils sont prêts pour dormir
19 *ADU:	hop qui est-ce qui en n'a pas d'autre ? lui il en a une d'étoile qui brille ?
19 *ADU:	et après quand il grandit il est beau avec ses tous ses piques il est mignon quand même
18 *ADU:	et tu vois les pattes du hérisson ils ont des petits coussinets dessous comme les les chats
