14 *ADU:	alors en appuyant à fond Vincent a réussi à faire un *** accident
13 *ADU:	il appuie sur la marche avant mais la voiture ne bouge pas
13 *ADU:	et après je vais te demander de me le raconter d'accord ?
13 *ADU:	en disant tu vois il faut bien pousser le couvercle jusqu'au bout
13 *ADU:	c'est bing c'est raté la voiture téléguidée a tamponné la voiture jaune
13 *ADU:	ah ouais il dit ça attention Maman tu vas te faire écraser
12 *ADU:	Vincent dit oh la la c'est difficile de rouler bien droit
12 *ADU:	tu racontes ce- cette image ou cette image ? d'accord alors
12 *ADU:	non non Ousmane personne t'a dérangé quand tu étais venu ***
12 *ADU:	alors la voiture a fait un accident avec les autres voitures
