23 *ADU:	ah non c'était à toi faut que tu me pose une autre question que les boucles d'oreilles tu me l'as déjà posée
22 *ADU:	attends eh on va le faire partir parce que là i- il il est là il a envie de jouer regarde
20 *ADU:	par contre euh je crois que moi j- je vois la tienne là faut que tu caches la tienne
20 *ADU:	non mais on va déjà terminer la partie et puis on verra après ce qu'on va faire hein ?
20 *ADU:	faut pas trop faire de bruit parce que après on va entendre que le bruit sur le la cassette
19 *ADU:	je te donne un feutre et puis tu me fais un petit dessin ? un petit dessin ?
19 *ADU:	il y en a beaucoup quand même à lire et on aura pas le temps de tout lire
18 *ADU:	ouais mais euh c'est ce qu'on essaie de faire je te signale miss depuis tout à l'heure
18 *ADU:	elles récoltent les des graines pour les sauterelles et les déposent ensuite sur la pierre à offrandes
18 *ADU:	allez Célène s'il te plaît tu m'avais promis qu'on ferait un bout de livre euh des images
