15 *CHI:	et tu ça c'est jaune ça c'est jaune ça ça c'est les fenêtres euh
14 *CHI:	et moi c'est c'est pas d'abord c'est d'abord moi je fais un carré
10 *CHI:	tu vas faire une maison sur le trait ici
10 *CHI:	tu * tu mets au milieu dans le carré
10 *CHI:	te il te fait une maison ici d'accord ?
10 *CHI:	il avait eu il avait eu un ballon champion
09 *CHI:	et nous on a des marches en plus
09 *CHI:	et après j'étais tombée j'a fait une galipette
08 *CHI:	toi tu fais un carré avec moi
08 *CHI:	on est sortir pour on s'en va
