19 *ADU:	alors la petite souris qu'est-ce qu'elle fait ? elle regarde où elle est sa copine la coccinelle ?
17 *ADU:	puis après la petite souris elle veut ranger quoi dans la maison de la coccinelle ?
17 *ADU:	oui la petite coccinelle elle est d'accord pour qu'elle mette le fromage dans sa maison ?
17 *ADU:	oui et elle rentre dans sa petite maison et elle ferme la p- les deux portes
17 *ADU:	la petite coccinelle elle faisait du bruit dans l'armoire puisque la petite souris elle emmenait l'armoire
17 *ADU:	c'est fini et là c'est quoi le grand dessin là c'est qui qui l'a fait ?
17 *ADU:	alors il met la maison de la petite coccinelle dans la dans sa maison à lui
16 *ADU:	oui la petite souris elle donne au loup le fromage pour pas qu'il la mange
16 *ADU:	il y a à manger dans la mai- il y a à manger où ?
16 *ADU:	et puis la petite souris elle lui donne quoi pour mettre dans sa maison ?
