17 *CHI:	et ça et ça et ça et ça et ça et ça et ça et ça
14 *CHI:	et puis euh le carabine et puis la maison en bois la carabine
13 *CHI:	avec ces deux là *** je vais prendre *** lui et lui
12 *CHI:	ouais vers là moi ce que j'aime le plus c'était euh
12 *CHI:	oh ça c'est quoi ? oh je veux ça et ça
12 *CHI:	Manu il a déjà fait il en a fait du sport
12 *CHI:	*** là je sais pas là "La guerre des étoiles" ***
11 *CHI:	non c'était vers là vers là faut retourner vers là
11 *CHI:	hum il y en a il y en a ***
11 *CHI:	hum et aussi pour euh le pistolet euh des bonhommes
