18 *CHI:	non je crois que ça va être une je crois que ça va être une grande maison
13 *CHI:	oui oh ça ça c'est la dépanneuse qui é- qui était là
13 *CHI:	oh je vais te dire, je vais voir ce qu'elle s'est fait
13 *CHI:	hé oui alors qu'est-ce qu'elle a fait cette voiture comme accident ?
13 *CHI:	et après ça continue par là il y a eu du feu
12 *CHI:	ça c'est euh euh ben je vais commencer par la dépanneuse
11 *CHI:	ouais et et un pare-brise et et deux pare-brises cassés
11 *CHI:	mais ça *** ça et il y a différentes pages
11 *CHI:	je crois que ça va être une grande maison ça
10 *CHI:	oui les , des avions regarde ça veut dire
