15 *ADU:	est ce que c'est une robe à manches longues ou à manches courtes ?
14 *ADU:	ah mais c'est pas une cassette c'est pas une vraie petite fille alors
13 *ADU:	il est de quelle couleur le petit noeud dans les cheveux ?
13 *ADU:	ben celle-là elle est finie si tu veux je colorie la robe
12 *ADU:	qu'est-ce que tu pourras me dire d'autre sur ma *** ?
12 *ADU:	j'ai plus assez de place pas grave alors le petit noeud
12 *ADU:	est-ce qui sont frisés ou est-ce qui sont tout raides ?
12 *ADU:	d'accord alors les cheveux clairs on va les faire jaunes frisés
12 *ADU:	comment elle est hein ? parce que sinon je peux pas
12 *ADU:	alors où est-ce qu'il y a du bleu fonçé ? alors
