20 *ADU:	tu m'as ex- moi je t'ai expliqué le Père-Nöel et moi je veux que tu m'expliques Camille d'accord ?
17 *ADU:	viens voir ta barbie moi je veux la voir alors dis-moi comment elle est ta barbie
17 *ADU:	viens on regarde les images je veux voir si tu connais le Noël viens regarde assieds-toi
17 *ADU:	maman elle veut savoir c'est pour expliquer à maman après après tu les colories les images
16 *ADU:	et quand quand il fait froid comme ça faut bien s'habiller faut mettre quoi ?
14 *ADU:	je sais comment il s'appelle son mari à barbie tu sais toi ?
14 *ADU:	eh moi j'ai vu un livre qui a l'air bien en tous cas
13 *ADU:	vas-y dis-moi c'est quoi là Camille ? qu'est-ce qu'elle fait Camille ?
13 *ADU:	un légume tu sais c'est quoi qui est orange comme légume ?
13 *ADU:	tu sais on le fait avec quoi le bonhomme de neige ?
