18 *ADU:	ah ah c'est plus facile c'est comme toi tu as des chaussures comme ça c'est plus facile
15 *ADU:	ouais si si tu as un peu froid tu tu te remets les chaussures
14 *ADU:	tu te mets d'abord les chaussures après on tu je vais te montrer
13 *ADU:	toi aussi t- toi tu sais nouer les chaussures les chaussures ?
13 *ADU:	peut-être que Jérôme a dit non non je vais faire tout seul
13 *ADU:	ouais il le chat il regarde comment il essaie de faire Jérôme
13 *ADU:	ils étaient encore un peu petits pour faire une chose comme ça
12 *ADU:	tu vois il est un peu plus grand que les autres
12 *ADU:	tout le monde ils sav- ils ils savaient pas faire ça
12 *ADU:	il ne va pas tomber hein ? il doit faire attention
