"","note","sentence","pluriels_phrase_nombre_pluriels_sentence","parties_du_discours_phrase_proportion_SCONJ_sentence","connecteurs_organisateurs_phrase_nombre_explicatifs_et_justificatifs_sentence","connecteurs_organisateurs_phrase_proportion_explicatifs_et_justificatifs_sentence","parties_du_discours_phrase_proportion_INTJ_sentence","connecteurs_organisateurs_phrase_nombre_connecteurs_temporels_sentence","connecteurs_organisateurs_phrase_proportion_connecteurs_temporels_sentence","graphie_phrase_variance_longueur_mots_sentence","pronoms_phrase_nombre_pronoms_indefinis_sentence","dependances_syntaxiques_phrase_nombre_moyen_dependances_sentence","adverbiaux_temporels_phrase_nombre_adverbiaux_temporels_sentence","adverbiaux_temporels_phrase_proportion_adverbiaux_temporels_sentence","dependances_syntaxiques_phrase_point_distance_moyenne_sentence","pluriels_phrase_proportion_pluriels_sentence","pronoms_phrase_proportion_pronoms_personnels_pluriels_sentence","structures_syntaxiques_phrase_nombre_subordonnees_completives_sentence","structures_syntaxiques_phrase_proportion_subordonnees_completives_sentence","flexions_verbales_phrase_proportion_flexions_pluriel_sentence","pronoms_phrase_repartition_pronoms_personnels_pluriels_sentence","parties_du_discours_phrase_proportion_ADV_sentence","parties_du_discours_phrase_proportion_CCONJ_sentence","flexions_verbales_phrase_diversite_systemes_temps_sentence","pronoms_phrase_repartition_pronoms_personnels_1e_personne_sentence","connecteurs_organisateurs_phrase_nombre_additifs_et_integration_lineaire_sentence","connecteurs_organisateurs_phrase_proportion_additifs_et_integration_lineaire_sentence","pronoms_phrase_proportion_pronoms_personnels_1e_personne_sentence","emotions_phrase_score_de_subjectitvite_sentence","emotions_phrase_score_de_polarite_sentence","connecteurs_organisateurs_phrase_nombre_argumentatifs_et_concessifs_sentence","connecteurs_organisateurs_phrase_proportion_argumentatifs_et_concessifs_sentence"
"45","5","tu vois là c'.
regarde juste d'un oeil.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.822857142875951",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.2222222222",NA,"0.333333333333333",NA,NA,NA,NA,"0.22","0.22",NA,NA
"46","5","c'est le petit yyy maintenant.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.2","0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.333333333333333",NA,NA,NA,NA,"0.1","0.1",NA,NA
"47","8","ah@i nan c'est parce c'est encore la nuit.",NA,NA,NA,NA,NA,NA,NA,"0.140809657306574",NA,"0.841558441596378","0.4","0.4",NA,NA,NA,NA,NA,NA,NA,"0.2",NA,"0.333333333333333",NA,"0.0526315789473684","0.0526315789473684",NA,NA,NA,NA,NA
"48","9","les enfants ils dorment encore.","0.108108108108108",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.2","0.2",NA,"0.8","0.299999999985",NA,NA,"1","1","0.2",NA,"0.333333333333333",NA,NA,NA,NA,NA,NA,NA,NA
"49","13","oui mais là c'est les enfants il va il va se réveiller.","0.0540540540540541",NA,NA,NA,"0.0769230769",NA,NA,"0.193579808882328",NA,"0.881632653037295",NA,NA,NA,"0.1538461538",NA,"0.111111111111111","0.111111111111111",NA,NA,NA,"0.0769230769","0.333333333333333",NA,NA,NA,NA,"0.01","0.01","0.142857142857143","0.142857142857143"
"50","8","oui on met où rou l'ours en peluche?",NA,NA,NA,NA,"0.1111111111",NA,NA,NA,NA,"0.914285714318041",NA,NA,"0.329185119883548",NA,NA,"0.111111111111111","0.111111111111111",NA,NA,NA,NA,"0.333333333333333",NA,NA,NA,NA,"0.01","0.01",NA,NA
"51","0","un doudou.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","14","tous les chats vont dans ce lit maintenant un chat va se mettre dans ce dans un lit.","0.108108108108108",NA,NA,NA,NA,NA,NA,"0.274694842407592","0.166666666666667","0.920300751895321","0.2","0.2","0.385493100903916","0.2222222222",NA,"0.111111111111111","0.111111111111111","0.5",NA,NA,NA,"0.333333333333333",NA,NA,NA,NA,"0.22","0.22",NA,NA
"53","7","mais ça c'est une maison mais ça c'est un lit qui appartient à personne.",NA,NA,NA,NA,NA,NA,NA,"0.241667693969349","0.388888888888889","0.90756302525503",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.125","0.333333333333333",NA,NA,NA,NA,NA,NA,"0.285714285714286","0.285714285714286"
"54","0","hop@i euh@i xxx.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","1","ah@i tu vois il fait nuit notre truc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.333333333333333",NA,NA,NA,NA,NA,NA,NA,NA
"56","1","fait nuit.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.333333333333333",NA,NA,NA,NA,NA,NA,NA,NA
"57","14","attends j'ai une idée pour qu'il fasse nuit vais éteindre la lumière.","0.027027027027027","0.0714285714","0.2","0.2",NA,NA,NA,"0.204049212033957","0.111111111111111","0.891428571483233",NA,NA,"0.388438441459624",NA,NA,"0.222222222222222","0.222222222222222","0.25",NA,NA,NA,"0.333333333333333","0.5",NA,NA,"0.0714285714",NA,NA,NA,NA
"58","0","euh@i houp@i.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","7","ah@i oui j'ai oublié celle là.",NA,NA,NA,NA,"0.1428571429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.2857142857",NA,"0.333333333333333","1",NA,NA,"0.1428571429","0.01","0.01",NA,NA
"60","0","euh@i ah@i nan pas elle là@i.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","7","voilà bah@i c'est bon.
la nuit.",NA,NA,"0.2","0.2",NA,NA,NA,NA,NA,NA,"0.2","0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.333333333333333",NA,NA,NA,NA,"0.7","0.7",NA,NA
"62","12","les parents c'les y a mhm@i papa qui dort en haut qui qui est monté se coucher.","0.0810810810810811",NA,NA,NA,NA,NA,NA,"0.276092613817988","0.222222222222222","0.920300751895321",NA,NA,NA,"0.1666666667","0.0833333333958333","0.111111111111111","0.111111111111111",NA,"1",NA,NA,"0.333333333333333",NA,NA,NA,NA,"0.18","0.18",NA,NA
"63","8","c'est on va dort après il va dormir après.",NA,NA,NA,NA,NA,"0.4","0.4","0.141876397134654",NA,"0.841558441596378",NA,NA,NA,NA,NA,"0.222222222222222","0.222222222222222",NA,NA,"0.2",NA,"0.666666666666667",NA,NA,NA,NA,NA,NA,NA,NA
