écoutes,176
enlever,1102
gilet,82
fatiguée,243
dormi,166
bye,13
gras,117
aime,4935
dessert,265
danette,44
chocolat,828
décidé,276
boules,166
trou,595
goûter,440
chat,1745
commence,1222
copains,676
poney,126
pardon,1038
drôle,544
qu,199
pa,361
papi,302
téléphoneras,1
dirai,201
préférée,104
tee-shirt,31
droit,1455
aimer,147
pantalon,504
d@l,138
v@l,76
montré,241
hier,1081
fauteuil,221
fauteuils,32
mangeras,42
poires,52
regardez,593
poire,111
chose,8088
offre,119
cadeau,688
anniversaire,506
abimer,14
mandarine,62
déjà,7238
bon,27094
ans,8262
boivez,1
pique,612
bois,960
serveur,21
limaces,13
roses,127
copain,632
citron,101
quels,395
crayons,180
mangerez,2
instant,681
acheté,921
viande,409
merguez,13
piquent,37
mise,298
cuillère,469
rattraper,82
goûtez,4
serais,597
morte,125
mandarines,13
souris,728
glace,331
cochon,772
arrêté,440
tomates,211
orange,634
vite,2336
couler,67
trouvé,1748
nous,16691
faisez,5
tomate,170
avez,10003
cuire,242
-c,2
beaucoup,13067
crois,9130
prêt,319
tient,742
chaudes,23
caisse,290
abord,2090
baisser,52
baissée,5
encore,12096
déménagé,133
posez,118
quelqu'un,1078
mettez,226
-vous,2416
quelqu',1366
demandera,27
puisque,1777
juliette,189
prendra,80
reviendra,62
voilà,25641
arrive,4015
antoine,3217
puisqu',547
faisait,2164
trois,7214
monsieur,2836
félicita,1
gardez,135
lait,976
écoutais,26
écoute,1331
coco.,2
coco,105
où,18230
trouver,1473
claqué,22
pois,149
chiche,1
train,3001
chez,5964
unis,43
appeler,465
diane,20
vient,2082
vienne,160
steph?,1
maëlis,2
trompes,14
papa!,142
chapeau,501
star,69
minutes,1071
pars,263
longtemps,1871
kart,7
maelis,2
heures,4493
vu,7786
faudrait,1387
avion,665
marche,1867
hippopotame,233
attends-moi,2
doudou,1512
dormir,563
habits,201
voyage,331
emmènerai,7
sûre,576
d.,22
reviens,369
peigner,37
poupée,495
peignes,17
joues,482
joue,1486
oeufs,751
mal,6032
dis,8667
-lui,21
dis-lui,3
père,2398
noël,1245
vert,1256
exactement,1238
frange,10
montreras,21
tes,2885
cousins,135
cocotte,86
connais,2766
porte,1536
téléphone,860
aider,820
cuisine,1045
fera,588
pizza,107
ferai,182
truc,3264
traits,75
fouet,31
mélanger,150
mélang,1
poivre,157
mains,1254
coque,28
œufs,14
sortent,235
ces,5022
jaune,1298
bagarrent,8
mélangé,121
farine,122
sales,107
toucher,382
enlèves,250
coquille,53
trouve,4620
vue,1997
cassé,1407
caché,550
souviens,1168
grattes,26
attrape,193
cake,13
huile,177
olive,37
mei,3
goûtes,16
doigts,626
donne,3333
torchon,8
garde,627
sage,185
jambon,308
bons,554
jambons,3
voit,3007
meilleur,385
plein,3062
pâte,420
olives,69
celles,296
attrapé,169
repose,136
reposes,24
combien,2223
passer,1918
table,1225
nettoyé,70
poubelle,441
coule,186
fermé,552
bientôt,614
pousse,587
goûté,102
cherches,271
quelque,4994
mangeais,41
donnais,39
affaires,392
achetés,71
parlait,582
pâtes,451
tarte,143
f-,593
framboises,78
nom,1287
man,116
purée,238
patates,79
préparer,363
fasse,865
mimi@c,1
lumière,434
rouge,2120
achetée,82
jeanne,687
sûr,4787
xx!,103
nounours,531
malade,596
poupon,26
bouteille,204
xx@c,1
caresser,25
ohla,10
cuit,137
dong@o,2
ç',27
ouvriras,2
feras,107
fermerai,2
garage,421
faites,2271
attendez,354
raisin,61
moitié,413
mangez,68
tranquille,359
claque,61
éteint,114
noir,767
jouera,40
crie,226
méch,4
mort,619
cuisinier,46
préparez,14
abricots,34
êtes,3625
vanille,76
fraise,158
finie,74
invite,88
surveille,59
seras,211
brave,16
type,557
mords,25
tomber,1218
tombé,1242
cinéma,1064
viendras,21
montes,111
monte,669
ouah,181
ânes,32
marché,974
azine,1
razoune,3
maitresse,43
mousse,175
grandir,96
dessinée,16
malades,121
reg,9
regardé,569
oreilles,658
pansement,85
restez,71
avoir,6446
escargot,316
serpent,296
retrouvé,368
mien,185
père-noël,44
offrir,102
bougie,79
entendre,468
lala,58
zoé,75
mimine,13
coquelicot,14
noursenâne,4
ours,1020
veste,94
auras,362
froid,910
nu,98
girafe,294
animaux,1628
vache,660
filles,1263
poupéton,1
corsica,2
angèle,5
prendrais,84
bonjour,1128
dis-moi,66
peinture,518
manque,1110
pinceau,91
peinturer,2
peinturée,1
peinturé,2
quel,3058
lit,1794
raconte,502
oignon,26
carotte,268
chou,66
vélo,896
moto,398
hélicoptère,199
bateau,1002
voiture,3761
cocorico,14
tigre,238
léopard,31
déguisement,38
clown,313
bibendum,10
écureuil,135
tizou,1
poireau,36
écharpe,70
freddy,9
perroquet,131
hibou,218
garçon,1065
concombre,13
mireille,69
abeille,146
araignée,282
avocat,78
vou,62
compter,313
garçons,731
f,482
âne,229
trous,275
nez,1331
queue,361
balance,76
crabe,146
ruche,43
autruche,31
zèbre,137
fois,9468
lançais,2
barrière,212
loups,114
cage,89
tellement,2330
relançais,1
caca,908
fassent,111
poivron,15
ananas,62
doudou!,1
radis,54
chevaux,452
cheval,1215
rat,62
fatigue,106
pomme,707
sieste,181
arrière,263
passé,1983
achètera,15
dora!,2
casquette,135
sors,499
vroum@o,209
jouait,168
tapis,292
dort,650
playmobils,85
ranger,733
salle,866
bain,1289
s,1006
p,426
promener,450
referme,63
toc,407
leur,5998
jardin,827
pourras,221
meilleure,254
fabriquait,12
pailles,25
ouvrait,18
ac,41
paille,128
aides,182
passaient,59
oublié,634
pourront,59
ca,327
coccinelle,203
fourmi!,2
lasagne,3
ver,84
serpents,60
chauds,38
cou,229
coq,241
vivait,86
coffre,129
hippopotame?,1
ressorti,28
crachée,1
glisse,146
mordre,45
derrière,1402
siège,110
attachée,46
caressé,17
attache,129
vivent,294
rouler,212
roule,357
roues,218
plastique,130
choisir,326
demain,1068
laisse,1488
mettras,37
installe,97
