id_text;document;freq_texte_freq_text
49;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Prune_5.36{}-(2).txt;7143.230459625836
50;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Prune_5.36{}-(3).txt;7555.912060633168
51;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Prune_5.36{}-(4).txt;7776.006684047957
52;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Prune_5.36{}-(5).txt;7278.753092594623
53;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Prune_5.36{}-(6).txt;7291.27760026484
54;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Prune_5.36{}-(7).txt;7697.07484782646
55;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Prune_5.36{}.txt;8193.358659340076
56;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Prune_5.37{}-(1).txt;7123.778475509166
57;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Prune_5.37{}-(2).txt;7442.234005737536
58;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Prune_5.37{}.txt;7733.214628324555
59;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Salomé_2.34{}-(1).txt;6977.972025798311
60;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Salomé_2.34{}-(2).txt;7437.393274827206
61;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Salomé_2.34{}.txt;9452.055897257285
62;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Salomé_2.35{}-(1).txt;8206.25782816971
63;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Salomé_2.35{}-(2).txt;7396.355946805217
64;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Salomé_2.35{}.txt;7549.147465229931
65;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Salomé_2.99{}.txt;7530.007935435235
66;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Salomé_3.0{}-(1).txt;7936.265152559907
67;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Salomé_3.0{}-(2).txt;7905.169700715933
68;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Salomé_3.0{}-(3).txt;8124.276885526394
69;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Salomé_3.0{}.txt;7403.727024336464
70;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_1.27.txt;7040.793092806489
71;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_1.36.txt;5028.746916856475
74;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_1.95.txt;5016.676657729111
75;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_2.04.txt;5672.736687360914
76;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_2.11.txt;4889.783555148166
77;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_2.16.txt;2799.779629606804
78;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_2.22.txt;4252.1151250067805
79;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_2.32.txt;4407.224944093115
80;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_2.4.txt;6794.381377791077
81;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_2.47.txt;6196.8629443925765
82;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_2.63.txt;5536.86727872224
83;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_2.7.txt;4042.086312216086
84;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_2.78.txt;5340.396076907113
85;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_2.87.txt;4751.880023665167
86;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_2.94.txt;5069.367668826068
87;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_3.04.txt;8099.971459592135
88;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_3.11.txt;7947.107325363058
89;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_3.2.txt;8681.324353208953
90;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_3.28.txt;7474.542939897315
91;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_3.37.txt;7734.684767500877
92;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_3.45.txt;9632.298014444143
93;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_3.68.txt;8172.885455654389
94;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_3.77.txt;7755.31889035777
95;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_3.87.txt;7461.242210737622
96;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_3.95.txt;7326.116523057711
97;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_4.04.txt;7835.5444352149925
98;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_4.11.txt;7188.354155012448
99;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_4.2.txt;8884.936510205853
100;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_4.32.txt;8012.9793652152275
101;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anae_1.52.txt;3925.076159021503
