id_text;document;freq_texte_freq_text
49;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Prune_5.36{}-(2).txt;7483.535659212035
50;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Prune_5.36{}-(3).txt;8210.892028540611
51;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Prune_5.36{}-(4).txt;8349.926526330291
52;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Prune_5.36{}-(5).txt;8324.18411693852
53;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Prune_5.36{}-(6).txt;7795.971708883074
54;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Prune_5.36{}-(7).txt;8253.058357017653
55;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Prune_5.36{}.txt;9071.722940890982
56;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Prune_5.37{}-(1).txt;7540.1633078051755
57;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Prune_5.37{}-(2).txt;7842.561569667819
58;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Prune_5.37{}.txt;8254.996054917952
59;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Salomé_2.34{}-(1).txt;7983.951161489407
60;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Salomé_2.34{}-(2).txt;8780.32924547654
61;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Salomé_2.34{}.txt;11797.24040630061
62;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Salomé_2.35{}-(1).txt;9482.973153457764
63;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Salomé_2.35{}-(2).txt;8342.434687674393
64;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Salomé_2.35{}.txt;8604.067637273061
65;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Salomé_2.99{}.txt;8174.696047869654
66;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Salomé_3.0{}-(1).txt;9064.678723271736
67;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Salomé_3.0{}-(2).txt;8880.654039335226
68;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Salomé_3.0{}-(3).txt;9094.195185473875
69;/Users/cp/brainstorm/evalang/evalang-public/alipe/rawtextchi/chi_Salomé_3.0{}.txt;8730.53140513166
70;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_1.27.txt;5741.810535022275
71;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_1.36.txt;3341.6968065563724
74;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_1.95.txt;3217.912094911573
75;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_2.04.txt;116.7747640965141
76;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_2.11.txt;4752.814408318739
77;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_2.16.txt;1084.0929493690278
78;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_2.22.txt;4996.250882640576
79;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_2.32.txt;6739.617527582888
80;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_2.4.txt;11448.074770312194
81;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_2.47.txt;8333.897790386449
82;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_2.63.txt;7124.360300612205
83;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_2.7.txt;4959.488599940604
84;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_2.78.txt;8283.036925626897
85;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_2.87.txt;6335.991814791859
86;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_2.94.txt;6967.947066402782
87;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_3.04.txt;11244.610233785044
88;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_3.11.txt;10341.240958213566
89;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_3.2.txt;11490.397474746433
90;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_3.28.txt;9849.267928222102
91;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_3.37.txt;9804.727192696459
92;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_3.45.txt;12095.632180867928
93;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_3.68.txt;10012.630446399065
94;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_3.77.txt;9470.816137790476
95;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_3.87.txt;8978.26779214547
96;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_3.95.txt;8770.645274515266
97;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_4.04.txt;9121.12978741472
98;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_4.11.txt;8539.377351182526
99;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_4.2.txt;10644.151058169551
100;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Adrien_4.32.txt;9048.489992401019
101;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anae_1.52.txt;8398.88318494997
