"","note","sentence","pluriels_phrase_nombre_pluriels_sentence","parties_du_discours_phrase_proportion_SCONJ_sentence","connecteurs_organisateurs_phrase_nombre_explicatifs_et_justificatifs_sentence","connecteurs_organisateurs_phrase_proportion_explicatifs_et_justificatifs_sentence","parties_du_discours_phrase_proportion_INTJ_sentence","connecteurs_organisateurs_phrase_nombre_connecteurs_temporels_sentence","connecteurs_organisateurs_phrase_proportion_connecteurs_temporels_sentence","graphie_phrase_variance_longueur_mots_sentence","pronoms_phrase_nombre_pronoms_indefinis_sentence","dependances_syntaxiques_phrase_nombre_moyen_dependances_sentence","adverbiaux_temporels_phrase_nombre_adverbiaux_temporels_sentence","adverbiaux_temporels_phrase_proportion_adverbiaux_temporels_sentence","dependances_syntaxiques_phrase_point_distance_moyenne_sentence","pluriels_phrase_proportion_pluriels_sentence","pronoms_phrase_proportion_pronoms_personnels_pluriels_sentence","structures_syntaxiques_phrase_nombre_subordonnees_completives_sentence","structures_syntaxiques_phrase_proportion_subordonnees_completives_sentence","flexions_verbales_phrase_proportion_flexions_pluriel_sentence","pronoms_phrase_repartition_pronoms_personnels_pluriels_sentence","parties_du_discours_phrase_proportion_ADV_sentence","parties_du_discours_phrase_proportion_CCONJ_sentence","flexions_verbales_phrase_diversite_systemes_temps_sentence","pronoms_phrase_repartition_pronoms_personnels_1e_personne_sentence","connecteurs_organisateurs_phrase_nombre_additifs_et_integration_lineaire_sentence","connecteurs_organisateurs_phrase_proportion_additifs_et_integration_lineaire_sentence","pronoms_phrase_proportion_pronoms_personnels_1e_personne_sentence","emotions_phrase_score_de_subjectitvite_sentence","emotions_phrase_score_de_polarite_sentence","connecteurs_organisateurs_phrase_nombre_argumentatifs_et_concessifs_sentence","connecteurs_organisateurs_phrase_proportion_argumentatifs_et_concessifs_sentence"
"146","7","ils ont pas bien fait dodo.","0.0540540540540541",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.3333333333","0.3333333334",NA,NA,"0.5","1","0.3333333333",NA,"0.333333333333333",NA,NA,NA,NA,NA,NA,NA,NA
"147","13","parce que ils ont fâché les bébés et Garance.","0.108108108108108","0.194444444434722","0.25","0.25",NA,NA,NA,NA,NA,"0.822857142875951",NA,NA,NA,"0.4444444444","0.2222222222",NA,NA,"0.5","1",NA,"0.1111111111","0.333333333333333",NA,"0.0714285714285714","0.0714285714285714",NA,NA,NA,NA,NA
"148","3","euh ben oui.",NA,NA,NA,NA,"0.6666666667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.01","0.01",NA,NA
"149","1","ah ah.",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","3","oh on se réveillerait c'était à jour de.",NA,NA,NA,NA,"0.1111111111",NA,NA,NA,NA,"0.822857142875951",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.666666666666667",NA,NA,NA,NA,NA,NA,NA,NA
"151","9","allez les bébés vous pouvez se réveiller.","0.135135135135135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.401194364838014","0.7142857143","0.2857142858","0.111111111111111","0.111111111111111","1","1",NA,NA,"0.333333333333333",NA,NA,NA,NA,NA,NA,NA,NA
"152","12","après les bébés ils se ils sortent tout seul dans les lits.","0.189189189189189",NA,NA,NA,NA,"0.2","0.2","0.170704539756132",NA,"0.870329670397036",NA,NA,NA,"0.5833333333","0.3333333334",NA,NA,"1","1",NA,NA,"0.333333333333333",NA,NA,NA,NA,"0.06","0.06",NA,NA
"153","11","oh déjà les bébés comme les papas ils sont jaunes.","0.189189189189189",NA,NA,NA,"0.1",NA,NA,"0.133740515759297","0.166666666666667","0.841558441596378",NA,NA,"0.403999919845859","0.7","0.2",NA,NA,"1","1",NA,NA,"0.333333333333333",NA,NA,NA,NA,NA,NA,NA,NA
"154","12","et Garance aussi elle a les mêmes cheveux que sa maman.","0.0810810810810811","0.159090909082955",NA,NA,NA,NA,NA,"0.151977858818106",NA,"0.857142857128163",NA,NA,"0.395022143840506","0.2727272727",NA,NA,NA,NA,NA,NA,"0.0909090909","0.333333333333333",NA,"0.142857142857143","0.142857142857143",NA,NA,NA,"0.166666666666667","0.166666666666667"
"155","6","comment je peux descendre?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.111111111111111","0.111111111111111",NA,NA,"0.25",NA,"0.333333333333333","1",NA,NA,"0.25",NA,NA,NA,NA
