outils,17
jeux,48
règle,21
coca,23
mauvais,16
ranger,130
atelier,4
cave,39
poubelle,125
ouh@i,100
beau,361
porte,303
saucisses,17
gnocchis,1
manette@c,1
année,31
santé,12
gnocchi,1
zèbre,35
petite,824
avec,2523
envie,372
flamby,6
casse,96
cuill,1
bravo,36
aider,112
peut,1354
-tu,13
mardi,19
parlé,14
suis,876
gâté,6
piscine,105
saucisse,16
schampoing,1
savon,84
plein,338
jambes,63
jambe,46
verte,63
u,13
noire,37
noire?,1
père-noël,15
cheveux,200
maison,682
adresse-de-grands-parents-de-chi,2
bleue,84
sorti,35
vidé,5
bain,222
ils,2914
coiffent,1
peigne,17
trappe,1
juste,208
tâche,4
fermé,90
cantine,26
sandwich,6
celui,1131
-là,1093
choco,4
ok,15
ne,247
renverser,21
alcool,2
trop,766
sylvain,5
acheter,85
riz,46
sauce,4
celle,743
hein,1601
comment,658
dis-donc,3
al,7
faire,2346
parce,3409
embête,24
toujours,201
comme,3944
fort,197
salade,73
t,49
avait,856
sauvé,15
fait,4120
dit,1196
puis,1435
bénédicte,2
seul,258
sait,242
mettre,1400
regarder,218
photos,37
anne,27
sa,931
co,17
noémie,8
papi,94
chez,446
eux,256
da,6
prend,226
fromage,126
du,274
moyen,18
tourner,110
magasin,32
ballon,324
bleu,488
bibendum,9
vomi,22
roz,1
oreilles,152
content,83
copains,67
mami,5
sonia,9
plait,49
couper,184
jambon,67
roté,6
vanille,43
oeil,59
madame,275
midi,32
après,1857
carottes,71
viande,94
fatigué,26
chèvre,28
chèvres,11
ressemble,40
bête,102
piqué,21
menton,5
abeille,34
piquait,6
ses,404
poule,169
cailloux,25
f,24
famille,64
marion,5
doudou,631
purée,67
fi,2
avant,304
trompé,54
papiers,17
grêle,2
pareil,98
e@l,76
aie,24
reine,63
oiseaux,89
lolo,4
couleur,143
avancez,1
cul,6
servi,9
craché,9
cracher,4
poisson,311
suffit,12
p,37
quand,1688
alors,1417
jus,75
cochon,225
n',493
importe,71
re,34
docteur,95
mot,64
pardon,52
exprès,37
grave,147
commencé,17
derrière,162
trouvé,306
dessous,145
d?,1
d,59
celui-là,33
trotro,9
tirer,57
langue,63
bavoir,18
pin-pon@o,4
téléphone,112
pompiers,56
chien,448
terrasse,10
même,1155
blanc,197
vert,384
sel,38
menthe,19
sopalin,3
machine,32
rit,14
prêté,13
david,45
ce,1055
grand,656
mer,120
ânes,9
algues,6
av,7
v,14
habille,19
garçon,213
sont,1256
découpés,2
ciseaux,50
jouer,484
m.,5
bêtises,80
mayonnaise,18
ang,1
anglais,26
boursin,1
rondolé,1
pleure,200
quatorze,42
vingt,104
voulais,149
sale,104
me,1520
reste,126
reste?,1
coucou,121
hibou,97
ohlala,1
brassards,16
hiboux,6
pipis,6
assiette,133
souris,215
finit,18
rien,366
moitié,18
n,47
maintenant,682
saint,19
nectaire,5
saint-nectaire,1
