16 *ADU:	c'est bien Jos- Victoria a trouvé le paquet où on voit une image de biberon
15 *ADU:	ils sortent tous les paquets toutes les caisses tous les cartons dans la cour
15 *ADU:	elle a retrouvé le tricot dans la marmite où on fait cuire le riz
12 *ADU:	oui une petite fille qui descend puis une deuxième petite fille
12 *ADU:	oui la maman descend l'escalier en disant de venir avec elle
12 *ADU:	le paquet de couches où on voit une image de bébé
12 *ADU:	hum hum et tu te souviens de ce qu'elle dit ?
12 *ADU:	hum hum elle dit moi je sais pourquoi il est là
12 *ADU:	et une mamie avec un bébé dans les bras hum hum
11 *ADU:	parce que tu vois là ça gêne les les calendriers
