15 *ADU:	il a déjà mis son manteau hein ? hum et que fait Anaïs ?
13 *ADU:	voilà il sonne à la porte et pourquoi est-ce qu'il vient ?
13 *ADU:	non pas Karim c'est pas Karim Karim il est pas encore là
12 *ADU:	d'accord ? Anaïs Ludovic la maman et Karim d'accord ? alors
12 *ADU:	alors là voilà qu'est-ce tu vois là sur cette image ?
11 *ADU:	voilà tu vois Ludovic faire des grimaces devant la glace
11 *ADU:	qu'est-ce qu'elle a dit ? Ludo arrête de faire dodo
11 *ADU:	pour lui chatouiller les pieds très bien alors là ?
10 *ADU:	tu te souviens de ce qu'elle a dit ?
10 *ADU:	très bien alors et là ? qui arrive ?
