13 *ADU:	elle celle que tu me montres du doigt elle s'appelle comment ?
12 *ADU:	oui mais qui c'est qui donne les épluchures de carottes ?
12 *ADU:	oui dans la caisse Monsieur et Madame Tortue ont tout mangé
12 *ADU:	ils demandent quelques feuilles de salade pour Monsieur et Madame Tortue
12 *ADU:	il faut que tu me racontes encore une fois le livre
12 *ADU:	allez à toi de tourner la page si tu as fini
11 *ADU:	tu voulais que je le relise encore une fois ?
11 *ADU:	tu me racontes ce qui se passe à la page
11 *ADU:	oui ils donnent la feuille de salade et la pomme
11 *ADU:	oui c'est le garage de Monsieur Tor- et Madame Tortue
