15 *ADU:	mais là tu me racontes pas Célia je voudrais que tu me racontes l'histoire
14 *ADU:	la poussette était cachée derrière une échelle un arrosoir et une une valise
14 *ADU:	je t'aiderai Célia si un j- à un moment tu t'en souviens pas
13 *ADU:	et le chat qu'est ce qu'il essaye de faire à l'ours ?
13 *ADU:	comme moi je te l'ai raconté comme moi je te l'ai lu
12 *ADU:	oui dans la cave il y a plein de vieilles choses
12 *ADU:	c'est Karim et Ludovic qui disent à Anais de faire attention
11 *ADU:	tortue elle monte avec la Madame tortue dans la poussette
11 *ADU:	si tu te souviens bien de ce que j'ai lu
11 *ADU:	qu'est ce qu'elle va mettre dans la poussette Fatima ?
