15 *ADU:	attends tu parles bien fort parce que je t- j'ai pas entendu du tout
11 *ADU:	oui et la maman de Anaïs et de Lu- Ludovic
10 *ADU:	nous sommes dans le bureau de la directrice $$$
10 *ADU:	il faut aussi que ça enregistre dans le magnétophone
09 *ADU:	oui et qu'est-ce qu'il fait là Bébé-Moïse ?
09 *ADU:	le papa la maman Bébé-Moïse et la mamie
09 *ADU:	expliquent aux enfants que la plus petite fille
08 *ADU:	tu vois tu voulais pas rac- $$$
08 *ADU:	oui il a oublié qu'il l'avait rangée
08 *ADU:	bien tourne la page c'est très bien
