14 *CHI:	il a dit venez vite après on va être en retard à l'école
13 *CHI:	Ludo- Anaïs et Ludovic ils sont ils sont tous les deux ré-
13 *CHI:	et Ludovic il chatouille chatouille les petits doigts de pieds de Anaïs
13 *CHI:	et Anaïs il se met du dentifrice sur sa brosse à dents
12 *CHI:	et et Anaïs il met ***, a enlevé son son pantalon
12 *CHI:	alors Ludovic a sauté sur le lit d'Anaïs et euh et
11 *CHI:	Ludovic il il il est plus couché il est réveillé
11 *CHI:	Ludovic et Anaïs ils prend son petit lait au chocolat
11 *CHI:	et et Ludovic il fait des grimaces à la glace
11 *CHI:	et et Anaïs elle met des choses pour son copain
