fichier	dossier	loc	age	utt	token	FUT	CONJ	SUBJ	INF	prorel	conj	comme	PPRE	prep+inf	n+conj+det	n+adj	n+prep+n	cest+++que	cest+que	ya+++qu	ya+qu	v+inf	dit+qu	plus+qu	proobj
../tcof/chi-trans-metaok/Baptiste1_Kul_Anon.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	4	469	3;01.09	0	1	0	1	2	28	1	0	1	0	1	4	1	1	0	0	0	0	0	5	
../tcof/chi-trans-metaok/Baptiste1_Lec_Anon.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	0	531	3;01.09	0	0	0	6	6	53	1	0	0	0	0	0	3	1	3	0	0	1	0	2	
../tcof/chi-trans-metaok/baptiste1_lel.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	17	552	4;05.30	0	0	0	2	3	34	0	0	1	0	0	1	4	1	0	0	0	0	0	5	
../tcof/chi-trans-metaok/baptiste1_zie.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	7	1069	3;01.09	2	1	0	44	12	92	1	0	2	5	4	1	4	1	1	1	0	2	0	4	
../tcof/chi-trans-metaok/benedicte1_let.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	17	1399	4;03.17	2	0	0	14	10	98	8	0	3	2	1	2	4	1	1	0	0	2	0	16	
../tcof/chi-trans-metaok/bengaly1_can.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	0	364	6;05.30	0	0	0	0	0	18	0	0	5	1	0	2	0	0	0	0	0	0	0	1	
../tcof/chi-trans-metaok/camille1_bar.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	4	308	5;08.11	0	0	0	8	0	19	4	0	0	0	2	1	0	0	0	0	0	1	0	1	
../tcof/chi-trans-metaok/camille1_mer.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	14	905	4;07.05	0	0	0	5	2	70	2	0	4	0	2	1	0	0	0	0	0	0	0	4	
../tcof/chi-trans-metaok/Camille1_Sil_Anon.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	4	643	5;10.23	0	0	0	37	10	41	0	0	1	4	1	10	11	3	1	0	0	0	0	3	
../tcof/chi-trans-metaok/Capucine1_San_Anon.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	4	978	5;05.30	0	2	0	4	9	56	2	0	5	2	1	8	1	0	1	0	0	0	2	7	
../tcof/chi-trans-metaok/Carla1_Con_Anon.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	9	861	6;	0	1	0	4	12	78	3	0	2	3	11	4	2	2	5	0	0	2	0	3	
../tcof/chi-trans-metaok/Cassandre1_And_Anon.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	12	721	4;01.05	0	0	0	1	5	60	5	0	2	0	2	1	3	0	1	1	0	0	0	1	
../tcof/chi-trans-metaok/cecile1_dan.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	4	1659	3;01.09	1	1	0	16	8	143	4	0	3	2	11	5	5	1	0	0	0	7	0	5	
../tcof/chi-trans-metaok/celene1_ber.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	47	2573	4;	7	1	0	16	20	119	12	1	12	1	12	8	12	6	0	0	0	3	2	31	
../tcof/chi-trans-metaok/charlotte1_gir.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	11	442	2;04.23	0	0	0	0	1	7	0	0	0	0	3	2	0	0	0	0	0	0	0	0	
../tcof/chi-trans-metaok/charlotte1_leb.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	7	352	4;03.17	0	0	0	6	2	20	1	0	1	0	0	1	1	0	0	0	0	0	0	0	
../tcof/chi-trans-metaok/chloe1_fau.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	36	1440	4;02.12	11	0	0	3	4	98	5	0	7	1	3	7	5	2	1	0	0	0	1	8	
../tcof/chi-trans-metaok/Claire1_Kam_Anon.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	16	387	4;05.30	1	0	0	4	2	23	5	0	1	1	2	4	4	4	0	0	0	0	0	2	
../tcof/chi-trans-metaok/clara1_dum.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	15	1379	3;01.06	1	1	0	10	11	55	9	0	10	6	4	9	13	1	1	0	0	1	0	10	
../tcof/chi-trans-metaok/clara1_lau.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	1	381	3;01.06	0	4	0	4	3	10	1	0	1	0	1	7	2	0	0	0	0	0	0	2	
../tcof/chi-trans-metaok/clelie1_dup.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	10	216	2;07.05	0	0	0	0	2	5	0	0	0	0	0	0	2	1	0	0	0	0	0	3	
../tcof/chi-trans-metaok/clemence1_bra.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	3	415	5;09.17	1	2	0	1	2	40	1	0	9	0	2	1	4	2	0	0	0	2	0	5	
../tcof/chi-trans-metaok/clemence1_hal.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	10	342	3;02.12	2	0	0	1	0	21	2	0	0	0	0	2	1	1	1	1	0	2	0	4	
../tcof/chi-trans-metaok/clement1_med.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	0	101	3;07.05	0	0	0	2	0	8	0	0	0	2	0	0	1	1	0	0	0	0	0	0	
