fichier,corpus,loc,utt,token,age,annee,nbx,sumx,nbsx,sumsx,FUT,COND,SUBJ,IMPF,prorel,conj,comme,PPRE,prep+inf,n+conj+det,n+adj,n+prep+n,cest+++que,ya+++qu,v+inf,dit+qu,plus+qu,proobj,x
./conllu_clan/Enfants_Long_celia_can_4.2-5.1_celia3_can.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,136,35,4;04.02,4.33333,77,1.974026,0,0,0,0,0,0,1,6,0,0,0,0,1,2,2,0,0,0,0,1,x
./conllu_clan/Enfants_Long_celia_can_4.2-5.1_celia4_can.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,207,50,4;04.15,4.33333,131,2.305344,2,7.000000,0,0,0,2,1,7,4,0,1,0,1,1,0,0,1,0,0,3,x
./conllu_clan/Enfants_Long_celia_can_4.2-5.1_celia5_can.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,268,56,4;05.06,4.41667,138,2.514493,1,7.000000,0,1,0,3,2,17,1,0,5,1,1,1,1,0,1,0,0,0,x
./conllu_clan/Enfants_Long_celia_can_4.2-5.1_celia6_can.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,292,52,4;05.30,4.41667,108,2.398148,1,9.000000,0,0,0,0,1,17,1,0,3,0,0,1,1,0,1,2,0,7,x
./conllu_clan/Enfants_Long_celia_can_4.2-5.1_celia7_can.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,268,42,4;06.20,4.5,109,2.834862,2,7.500000,2,0,0,0,2,13,0,0,5,0,1,3,0,0,0,1,0,4,x
./conllu_clan/Enfants_Long_celia_can_4.2-5.1_celia8_can.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,379,91,4;07.18,4.58333,191,2.162304,0,0,0,0,0,1,4,29,1,0,2,1,1,2,3,0,1,0,0,9,x
./conllu_clan/Enfants_Long_celia_can_4.2-5.1_celia9_can.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,94,23,4;09.12,4.75,62,1.822581,0,0,0,0,0,0,3,2,0,0,0,0,0,2,1,0,0,0,0,1,x
./conllu_clan/Enfants_Long_celia_gav_4.7-4.11_celia1_gav.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,492,94,4;07.22,4.58333,213,2.708920,2,7.000000,0,0,0,4,2,40,1,0,4,2,4,1,1,0,3,3,0,12,x
./conllu_clan/Enfants_Long_celia_gav_4.7-4.11_celia2_gav.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,545,108,4;09.10,4.75,222,2.518018,0,0,0,3,0,16,3,53,6,0,3,3,1,0,0,0,6,1,0,14,x
./conllu_clan/Enfants_Long_celia_gav_4.7-4.11_celia3_gav.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,340,46,4;10.29,4.83333,106,3.084906,2,7.500000,0,0,0,2,3,30,0,0,2,0,1,4,1,0,2,1,0,13,x
./conllu_clan/Enfants_Long_fanny_cha_3.9-4.2_fanny1_cha.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,401,108,3;09.03,3.75,206,2.436893,1,7.000000,0,0,0,0,5,21,4,0,1,2,1,2,2,0,1,0,0,19,x
./conllu_clan/Enfants_Long_fanny_cha_3.9-4.2_fanny2_cha.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,437,106,4;01.00,4.08333,204,2.220588,2,7.000000,0,1,0,8,1,18,5,0,4,0,2,4,1,0,6,0,0,5,x
./conllu_clan/Enfants_Long_fanny_cha_3.9-4.2_fanny3_cha.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,355,110,4;02.23,4.16667,230,2.313043,1,7.000000,0,0,3,2,3,21,0,0,1,0,2,1,0,0,2,0,0,6,x
./conllu_clan/Enfants_Long_gaelle_sow_3.0-3.4_gaelle1_sow.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,82,60,3;00.11,3,163,1.871166,2,7.500000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,x
./conllu_clan/Enfants_Long_gaelle_sow_3.0-3.4_gaelle2_sow.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,171,92,3;01.21,3.08333,244,1.934426,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,2,0,0,10,x
./conllu_clan/Enfants_Long_gaelle_sow_3.0-3.4_gaelle3_sow.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,180,108,3;03.24,3.25,251,1.577689,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,3,x
./conllu_clan/Enfants_Long_gaelle_sow_3.0-3.4_gaelle4_sow.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,169,86,3;04.15,3.33333,190,1.615789,0,0,0,0,0,0,0,3,1,0,0,0,0,3,0,0,0,0,0,4,x
./conllu_clan/Enfants_Long_gaelle_sow_3.0-3.4_gaelle5_sow.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,144,71,3;04.22,3.33333,158,1.405063,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,5,x
./conllu_clan/Enfants_Long_gaelle_sow_3.0-3.4_gaelle6_sow.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,130,69,3;04.29,3.33333,189,1.878307,1,7.000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,x
./conllu_clan/Enfants_Long_garance_sow_3.6-3.11_garance1_sow.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,119,58,3;06.28,3.5,181,1.933702,0,0,1,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,1,x
./conllu_clan/Enfants_Long_garance_sow_3.6-3.11_garance2_sow.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,13,6,3;08.10,3.66667,52,2.750000,1,7.000000,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,x
./conllu_clan/Enfants_Long_garance_sow_3.6-3.11_garance3_sow.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,123,40,3;10.12,3.83333,150,2.480000,0,0,0,0,0,4,1,10,0,0,3,0,0,1,0,0,1,0,2,2,x
./conllu_clan/Enfants_Long_garance_sow_3.6-3.11_garance4_sow.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,163,44,3;11.02,3.91667,131,2.198473,0,0,0,0,0,0,3,10,1,0,2,0,0,4,0,0,1,0,0,0,x
./conllu_clan/Enfants_Long_garance_sow_3.6-3.11_garance5_sow.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,97,36,3;11.09,3.91667,105,2.304762,0,0,0,0,0,0,0,5,1,0,1,0,0,3,0,0,0,0,0,0,x
