,sent_id,sentence,DiversitéLemmes,ProportionsVerbes,ProportionNoms,ProportionsAdjectif,ProportionClitiques,ProportionStopWords,ProportionSymboles,RapportPonctuationSurMots,ProportionAdvTemp,ProportionVerbeEtat,PropAddition,PropBut,PropCause,PropComparaison,PropConcession,PropConclusion,PropCondition,PropConsequence,PropEnumeration,PropExplication,PropIllustration,PropJustification,PropOpposition,PropRestriction,PropExclusion,PropTemps
281,281,"on va mettre un comme ça ...
oups .",7,0.2857142857142857,0.0,0.0,0.0,0.2857142857142857,4.285714285714286,0.2857142857142857,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
282,282,voilà .,1,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,283,te tiens tu mets le bébé dedans ?,7,0.2857142857142857,0.14285714285714285,0.0,0.0,0.42857142857142855,4.142857142857143,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,284,regarde mets-toi je vais essayer de mettre la poussette chéri .,10,0.45454545454545453,0.09090909090909091,0.0,0.0,0.18181818181818182,5.090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,285,donne je vais le faire xxx .,6,0.5,0.16666666666666666,0.0,0.0,0.3333333333333333,4.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,286,tu mets-le bébé dans le la chaise-haute ?,6,0.14285714285714285,0.2857142857142857,0.0,0.0,0.5714285714285714,5.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,287,oh attend .,2,0.5,0.0,0.0,0.0,0.0,5.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,288,ouais mets d'abord ça c'est plus simple mais regarde il y a des encoches en dessous de la poussette .,20,0.14285714285714285,0.19047619047619047,0.0,0.0,0.42857142857142855,4.190476190476191,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0
289,289,"t'as réussi ?
ah je crois que t'as mis à l'envers ?",3,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,5.333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,290,"ouais voilà .
voilà comme ça comme ça y a là y a les jambes en dessous .",2,0.5,0.0,0.0,0.0,0.0,5.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,291,fais voir .,2,0.5,0.0,0.0,0.0,0.0,5.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292,292,c'est bon ?,3,0.0,0.0,0.0,0.0,1.0,3.3333333333333335,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,293,vas-y mets le bébé dans la p dans la chaise-haute maman elle va elle va regarder ça chéri .,14,0.2631578947368421,0.2631578947368421,0.0,0.0,0.42105263157894735,4.052631578947368,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
